Nom,Poste_Cat
Gabriel Moscardo,MC
Gabriel Otegbayo,CB
Gabriel Pec,ATT
Gabriel Pirani,ATT
Gabriel Sara,ATT
Gabriel Silva,ATT
Gabriel Strefezza,ATT
Gabriel Suazo,MC
Gabriel Veron,AG
Gaius Makouta,MOF
Gaizka Larrazabal,MOF
Garrison Tubbs,CB
Gary Magnee,MOF
Gastón Álvarez,CB
Gauthier Hein,ATT
Gautier Lloris,CB
Gavin Molloy,MDF
Gavin Reilly,AG
Gaëtan Perrin,AG
Gennaro Borrelli,AG
Geny Catamo,ATT
Geoffrey Kondo,CB
George Campbell,LB
George Dobson,MC
George Hirst,AG
George Ilenikhena,CB
George Thomason,MC
Georges Mikautadze,ATT
Georgi Minoungou,AG
Georginio Rutter,ATT
Georginio Wijnaldum,ATT
Geovany Quenda,ATT
Gerard Gumbau,AG
Gerard Martín,LB
Gerard Moreno,ATT
Gerard Vandeplas,AG
Gerardo Valenzuela,ATT
German Onugkha,AG
Germán Berterame,ATT
Germán Valera,MOF
Gernot Trauner,CB
Gerrit Nauber,MC
Gerónimo Rulli,CB
Gessime Yassine,AG
Ghislain Konan,MC
Giacomo Bonaventura,LB
Giacomo Raspadori,ATT
Gianluca Gaetano,MC
Gianluca Mancini,MC
Gianluca Prestianni,ATT
Gianluca Scamacca,ATT
Gibson Yah,AG
Gift Orban,ATT
Gijs Smal,AG
Gil Dias,MOF
Gilberto Batista,CB
Giorgi Abuashvili,AG
Giorgi Chakvetadze,AG
Giorgi Kvilitaia,ATT
Giorgi Tsitaishvili,MOF
Giorgio Scalvini,MC
Giorgos Masouras,ATT
Giovane,AG
Giovani Lo Celso,MOF
Giovanni Di Lorenzo,ATT
Giovanni Fabbian,ATT
Giovanni Haag,LB
Giovanni Simeone,AG
Giuliano Simeone,MC
Giuseppe Pezzella,MC
Givairo Read,ATT
Gjivai Zechiël,ATT
Goduine Koyalipou,AG
Gonzalo Luján,CB
Gonçalo Costa,AG
Gonçalo Franco,ATT
Gonçalo Guedes,AG
Gonçalo Inácio,CB
Gonçalo Nogueira,AG
Gonçalo Paciência,AG
Gonçalo Rodrigues,MC
Gorka Guruzeta,ATT
Grady Diangana,AG
Graeme Shinnie,AG
Granit Xhaka,MDF
Grant Hanley,CB
Greg Docherty,ATT
Greg Kiltie,ATT
Griffin Dorsey,MOF
Griffin Yow,AG
Grischa Prömel,ATT
Guga,ATT
Guido Rodríguez,MC
Guilherme,ATT
Guilherme Biro,MC
Guilherme Luiz,AG
Guilherme Neiva,AG
Guilherme Romão,CB
Guilherme Smith,AG
Gustaf Lagerbielke,CB
Gustav Isaksen,AG
Gustav Mortensen,LB
Gustavo Caballero,AG
Gustavo Hamer,ATT
Gustavo Klismahn,AG
Gustavo Mancha,CB
Gustavo Mendonca,MC
Gustavo Silva,AG
Gustavo Sá,ATT
Gustavo Varela,AG
Guus Offerhaus,MC
Guus Til,ATT
Guéla Doué,MC
Gvidas Gineitis,ATT
Gyan de Regt,MOF
Gyrano Kerk,ATT
Gökhan Gül,MC
Göktan Gürpüz,AG
Güven Yalçın,AG
Habib Diarra,MC
Habib Keita,MC
Habibou Diallo,ATT
Haissem Hassan,AG
Haji Wright,AG
Hakan Çalhanoğlu,MDF
Hakon Arnar Haraldsson,ATT
Hamari Traoré,MC
Hamdi Akujobi,MC
Hamed Junior Traorè,AG
Hammam Al-Hammami,MC
Hamza El Dahri,MC
Hamza Igamane,AG
Hamzat Ojediran,AG
Han-Noah Massengo,MDF
Hannes Van Der Bruggen,ATT
Hannes Wolf,ATT
Hannibal Mejbri,AG
Hans Nicolussi Caviglia,AG
Hans Vanaken,MC
Hany Mukhtar,ATT
Harbor Miller,AG
Haris Belkebla,CB
Haris Hajradinović,ATT
Haris Tabaković,ATT
Harrison Burrows,ATT
Harry Clarke,ATT
Harry Cochrane,CB
Harry Kane,ATT
Harry Maguire,MC
Harry Milne,MOF
Harry Souttar,CB
Harry Toffolo,MC
Harry Wilson,ATT
Harry Winks,MC
Harvey Barnes,ATT
Harvey Vale,ATT
Hassan Ali Rabea,CB
Hassan Altambakti,CB
Hassan Kadesh,CB
Hassane Kamara,AG
Hattan Bahebri,AG
Hauke Wahl,CB
Hayden Hackney,ATT
Hazzaa Al-Ghamdi,AG
Hector Fort,CB
Hector Kyprianou,MDF
Henk Veerman,AG
Hennes Behrens,MOF
Henok Teklab,MOF
Henrikh Mkhitaryan,MOF
Henry Cartwright,MC
Henry Lawrence,MC
Herman Johansson,MOF
Hicham Boudaoui,CB
Hidde ter Avest,CB
Hidemasa Morita,AG
Himad Abdelli,CB
Hirving Lozano,ATT
Hong Hyun-seok,AG
Houssem Aouar,ATT
Hrvoje Smolčić,MDF
Hugo Bolin,ATT
Hugo Bueno,MC
Hugo Cuypers,ATT
Hugo Duro,CB
Hugo Ekitiké,ATT
Hugo Félix,ATT
Hugo Larsson,MOF
Hugo Magnetti,MC
Hugo Picard,AG
Hugo Rincón,MC
Hugo Siquet,MOF
Hugo Vetlesen,ATT
Hugo Álvarez,ATT
Husain Al-Qahtani,AG
Hwang Hee-chan,CB
Hwang In-beom,AG
Hwang Ui-Jo,MC
Hyeon-gyu Oh,ATT
Hyllarion Goore,ATT
Hyun-ju Lee,AG
Héctor Herrera,AG
Héliton,ATT
Iago Aspas,ATT
Iago Silva,CB
Ian Harkes,MC
Ian Maatsen,CB
Ianis Hagi,AG
Ianis Stoica,ATT
Ibe Hautekiet,CB
Ibou Sane,CB
Ibrahim Aliyu,CB
Ibrahim Diabaté,AG
Ibrahim Karamoko,CB
Ibrahim Kaya,ATT
Ibrahim Maza,ATT
Ibrahim Olawoyin,AG
Ibrahim Osman,ATT
Ibrahim Said,ATT
Ibrahim Sangaré,MDF
Ibrahima Ba,CB
Ibrahima Baldé,CB
Ibrahima Konaté,CB
Ibrahima Sissoko,MDF
Ibrahima Sory Bangoura,LB
Idan Toklomati,MOF
Idrissa Gana Gueye,MOF
Idrissa Gueye,AG
Idrissa Touré,MC
Ignace Van der Brempt,MC
Ignatius Kpene Ganago,AG
Igor Jesus,ATT
Igor Lichnovsky,CB
Igor Matanović,ATT
Igor Paixão,ATT
Igor Silva,MC
Igor Thiago,ATT
Igor Zubeldia,CB
Iker Kortajarena,ATT
Iker Losada,AG
Iker Luque,ATT
Iker Muñoz,CB
Ilaix Moriba,LB
Ilan Kebbal,ATT
Ilay Feingold,MOF
Ilia Gruev,CB
Ilias Akhomach,ATT
Ilias Bronkhorst,MOF
Ilias Chair,ATT
Ilias Sebaoui,ATT
Ilie Sánchez,MC
Iliman Ndiaye,ATT
Ilyas Ansah,MC
Ilyas Chaira,ATT
Iman Griffith,ATT
Imrân Louza,ATT
Indiana Vassilev,AG
Irakli Yegoian,ATT
Irvin Cardona,CB
Isaac Hayden,CB
Isaac James,MC
Isaac Price,ATT
Isaac Romero,AG
Isaiah LeFlore,CB
Isak Hien,CB
Isak Jansson,AG
Isak Steiner Jensen,ATT
Isco,MOF
Isi Palazón,ATT
Ismael Doukouré,CB
Ismael Koné,MC
Ismael Saibari,ATT
Ismaelo Ganiou,MC
Ismaïla Sarr,ATT
Issa Kaboré,AG
Issa Soumaré,ATT
Ivan Azón,AG
Ivan Barbero,ATT
Ivan Brnić,ATT
Ivan Losenko,MC
Ivan Mesík,CB
Ivan Perišić,AG
Ivan Toney,ATT
Ivo Pinto,MC
Iván Angulo,MC
Iván Fresneda,MC
Iván Jaime,ATT
Iván Martín,AG
Iván Márquez,CB
Iván Romero,ATT
Iyad Mohamed,MC
Iñaki Williams,ATT
Iñigo Martínez,CB
Iñigo Ruiz de Galarreta,AG
Jacen Russell Rowe,AG
Jack Clarke,ATT
Jack Cooper Love,ATT
Jack Currie,CB
Jack Elliott,CB
Jack Grealish,MOF
Jack Harrison,AG
Jack Hendry,CB
Jack Hinshelwood,ATT
Jack McGlynn,MOF
Jack Milne,CB
Jack Rudoni,ATT
Jack Skahan,AG
Jack Stacey,MC
Jack Stephens,CB
Jack Taylor,AG
Jack Thomson,AG
Jack Wilkie,MC
Jackson Hopkins,ATT
Jackson Irvine,ATT
Jackson Muleka,ATT
Jackson Ragen,CB
Jackson Tchatchoua,CB
Jackson Travis,CB
Jacob Bartlett,MDF
Jacob Brown,AG
Jacob Davis,MDF
Jacob Greaves,MDF
Jacob Murphy,AG
Jacob Ramsey,ATT
Jacob Shaffelburg,CB
Jacob Trenskow,ATT
Jacobo Ramón,CB
Jacopo Fazzini,AG
Jacques Ekomié,CB
Jaden Heskey,LB
Jaden Philogene-Bidace,AG
Jadon Sancho,AG
Jae-sung Lee,MC
Jahkeele Marshall-Rutty,MOF
Jaidon Anthony,ATT
Jaka Bijol,CB
Jake Cooper,CB
Jake O'Brien,CB
Jakob Breum,ATT
Jakob Glesnes,CB
Jakob Napoleon Romsaas,AG
Jakub Brabec,CB
Jakub Kamiński,ATT
Jakub Kiwior,LB
Jakub Moder,ATT
Jakub Piotrowski,AG
Jalen Blesa,ATT
Jalen Neal,CB
Jamal Harkass,CB
Jamal Lewis,MC
Jamal Lowe,ATT
Jamal Musiala,AG
Jamal Thiaré,CB
Jamar Ricketts,MDF
James Abankwah,CB
James Garner,MC
James Hill,MC
James Justin,MC
James Lawrence,MC
James Maddison,MOF
James Rodríguez,AG
James Sands,MDF
James Tarkowski,ATT
James Ward-Prowse,MC
Jamie Brandon,MC
Jamie Donley,AG
Jamie Leweling,ATT
Jamie McGrath,MOF
Jamie Vardy,AG
Jamil Siebert,CB
Jamiro Monteiro,AG
Jan Bednarek,CB
Jan Paul van Hecke,CB
Jan Schöppner,MC
Jan Uwe Thielmann,AG
Jan Virgili,AG
Jan-Niklas Beste,AG
Janderson,ATT
Jandro Orellana,AG
Janik Haberer,MC
Jannik Vestergaard,LB
Jano Monserrate,AG
Japhet Sery Larsen,CB
Japhet Tanganga,CB
Jarell Quansah,MC
Jari Vandeputte,ATT
Jarrad Branthwaite,MC
Jarrod Bowen,MOF
Jason,ATT
Jason Knight,LB
Jason van Duiven,AG
Jasper Dahlhaus,CB
Jaures Assoumou,AG
Javi Galán,MC
Javi López,MC
Javi Morcillo,CB
Javi Rodríguez,CB
Javi Sánchez,CB
Javier Guerra,AG
Javier Rueda,AG
Jay DaSilva,MC
Jay Idzes,CB
Jay Kruiver,ATT
Jay Stansfield,ATT
Jaydee Canvot,LB
Jayden Bogle,LB
Jayden Nelson,ATT
Jayden Oosterwolde,CB
Jaydon Banel,AG
Jayson Molumby,MC
Jaïro Riedewald,CB
Jean Daniel Akpa-Akpro,MC
Jean Philippe Mateta,ATT
Jean Victor Makengo,AG
Jean-Baptiste Gorby,MC
Jean-Clair Todibo,CB
Jean-Luc Dompé,AG
Jean-Mattéo Bahoya,AG
Jean-Philippe Gbamin,LB
Jean-Philippe Krasso,ATT
Jean-Ricner Bellegarde,CB
Jeanuël Belocian,MDF
Jed Wallace,AG
Jeevan Badwal,MOF
Jeff Chabot,CB
Jeff Hardeveld,MC
Jefferson Díaz,MDF
Jefferson Encada,CB
Jefferson Lerma,MDF
Jeffrey Gouweleeuw,MC
Jeh,ATT
Jehad Thakri,LB
Jeisson Palacios,CB
Jelani Seedorf,ATT
Jens Castrop,ATT
Jens Stage,ATT
Jeppe Tverskov,MC
Jerdy Schouten,MC
Jeremie Frimpong,AG
Jeremy Ngakia,MC
Jeremy Sarmiento,ATT
Jeremy Toljan,MC
Jerolldino Bergraaf,AG
Jerome Opoku,CB
Jerry Afriyie,ATT
Jerry Yates,ATT
Jesper Ceesay,CB
Jesper Karlsson,ATT
Jesper Karlström,CB
Jesper Lindstrøm,MDF
Jessy Deminguet,MC
Jesurun Rak-Sakyi,ATT
Jesus Bueno,AG
Jesús Ferreira,ATT
Jesús Ramírez,ATT
Jhon Lucumí,CB
Jhon Solís,MDF
Ji-sung Eom,AG
Jim Allevinah,AG
Jimmy Dunne,MC
Joachim Andersen,CB
Joakim Mæhle,MC
Joao Marques,MDF
Joaquin Panichelli,ATT
Joaquin Seys,MC
Joaquín Pereyra,ATT
Joaquín Valiente,AG
Jobe Bellingham,MC
Jocelin Ta Bi,CB
Jochem Ritmeester van de Kamp,MOF
Joe Gelhardt,ATT
Joe Gomez,MC
Joe Hodge,AG
Joe Hugill,ATT
Joe Rodon,CB
Joe Scally,MC
Joe Ward,MOF
Joe Westley,AG
Joe Willock,AG
Joel Chima Fujita,AG
Joel Ideho,ATT
Joel Latibeaudiere,CB
Joel Ordóñez,CB
Joel Roca,AG
Joel Schmied,MC
Joel Waterman,CB
Joelinton,AG
Joelson Fernandes,AG
Joey Muller,MOF
Joey Veerman,MOF
Jofre Carreras,AG
Johan Manzambi,ATT
Johan Mojica,MC
Johan Vásquez,CB
Johann Lepenant,MOF
John Buckley,MC
John Donald,CB
John Egan,CB
John Lundstram,AG
John McGinn,AG
Johnny Cardoso,CB
Johnny Koutroumbis,AG
Jon Ander Olasagasti,ATT
Jon Aramburu,RB
Jon Gallagher,MC
Jon Gorrotxategi,CB
Jon Guridi,ATT
Jon Martin,CB
Jon Moncayola,MC
Jon Nouble,ATT
Jonah Ayunga,AG
Jonas Wind,ATT
Jonathan Bamba,ATT
Jonathan Bell,CB
Jonathan Buatu,CB
Jonathan Burkardt,ATT
Jonathan Clauss,MC
Jonathan David,ATT
Jonathan Gradit,LB
Jonathan Ikoné,AG
Jonathan Okita,AG
Jonathan Osorio,MC
Jonathan Rowe,ATT
Jonathan Tah,CB
Jonathan Varane,AG
Jonny Otto,MC
Joran Gerbet,CB
Jordan Ayew,AG
Jordan Bos,MOF
Jordan Bustin,CB
Jordan Holsgrove,MOF
Jordan James,ATT
Jordan Lefort,CB
Jordan Morris,ATT
Jordan Obita,MC
Jordan Siebatcheu,AG
Jordan Storey,CB
Jordan Teze,MOF
Jordan Thompson,AG
Jordan Torunarigha,CB
Jordi Altena,AG
Jordi Liongola,ATT
Jordy Clasie,AG
Jordy Makengo,MDF
Jorg Schreuders,MC
Jorge Cuenca,CB
Jorge Fernandes,MC
Jorge Ruvalcaba,AG
Jorge de Frutos,ATT
Joris Chotard,MC
Joris Kayembe,AG
Joris Kramer,LB
Joris van Overeem,MC
Jorrel Hato,CB
Josafat Mendes,MOF
Jose Fontán,CB
Jose Gaya,MC
Josep Chavarría,MC
Joseph Paintsil,ATT
Joseph Rosales,MOF
Josh Atencio,AG
Josh Brownhill,MC
Josh Campbell,AG
Josh Coburn,ATT
Josh Cullen,MC
Josh Eccles,AG
Josh Edwards,LB
Josh Knight,CB
Josh Laurent,MC
Josh Maja,ATT
Josh Mulligan,MOF
Josh Sargent,ATT
Josh Tymon,MOF
Josh Windass,ATT
Joshua Brenet,CB
Joshua Duffus,CB
Joshua Kimmich,MOF
Joshua King,AG
Joshua Kitolano,MOF
Joshua Nisbet,MOF
Joshua Zirkzee,ATT
Josip Stanišić,MOF
Josip Šutalo,CB
Josué Casimir,MC
Josué Homawoo,LB
José Cifuentes,MOF
José Copete,CB
José Córdoba,CB
José Gomes,MC
José Luis Gayà,AG
José Tavares,AG
José Ángel Carmona,MC
Jota,CB
Jovan Lukić,MC
Jovan Milošević,AG
Jovane Cabral,ATT
Jovany Ikanga,CB
Jovon Makama,ATT
João Aurélio,MDF
João Camacho,CB
João Cancelo,MDF
João Carvalho,ATT
João Costa,MC
João Félix,ATT
João Gomes,CB
João Goulart,CB
João Klauss,ATT
João Mendes,MC
João Moutinho,AG
João Mário,AG
João Neves,MDF
João Palhinha,MC
João Pedro,ATT
João Peglow,MOF
João Silva,CB
Joël Ito,MC
Joël Veltman,CB
Joško Gvardiol,MC
Juan Berrocal,CB
Juan Familia-Castillo,MC
Juan Foyth,LB
Juan Iglesias,CB
Juan Jose Arias,CB
Juan Miranda,MC
Juan Mosquera,MC
Juan Pedroza,MC
Juan Rodríguez,CB
Juan Sanabria,MOF
Juan Santos da Silva,ATT
Juanlu Sánchez,AG
Jude Bellingham,MOF
Jules Koundé,RB
Julian Brandt,MOF
Julian Hall,ATT
Julian Ryerson,MC
Julian Weigl,MC
Julien Le Cardinal,LB
Julio Enciso,ATT
Julius Dirksen,CB
Julián Alvarez,ATT
Julián Quiñones,ATT
Jun-Ho Bae,AG
Juninho Bacuna,AG
Junior Messias,AG
Junior Olaitan,ATT
Junior Tchamadeu,LB
Junya Ito,AG
Jurriën Timber,MC
Justen Glad,CB
Justin De Haas,MC
Justin Haak,CB
Justin Hubner,CB
Justin Kluivert,AG
Justin Lonwijk,AG
Justin Njinmah,AG
Justin Obikwu,ATT
Jérémie Boga,ATT
Jérémy Doku,ATT
Jérémy Jacquet,MC
Jérémy Livolant,MOF
Jímer Fory,LB
Jørgen Strand Larsen,AG
Jürgen Ekkelenkamp,MC
Kacper Kozłowski,MOF
Kacper Pasiek,CB
Kai Havertz,ATT
Kai Trewin,LB
Kai Wagner,MOF
Kaick,ATT
Kaiky Naves,CB
Kaishu Sano,MOF
Kaito Matsuzawa,AG
Kaj Sierhuis,ATT
Kaj de Rooij,AG
Kalani Kossa-Rienzi,MC
Kalidou Koulibaly,LB
Kalvin Phillips,CB
Kamal Sowah,MOF
Kamiel Van de Perre,LB
Kamory Doumbia,ATT
Kang-in Lee,AG
Kaoru Mitoma,ATT
Karamba Gassama,AG
Karamoko Dembélé,AG
Kareem Tunde,AG
Karim Adeyemi,AG
Karim Benzema,ATT
Karim Coulibaly,LB
Karim Dermane,AG
Karlan Grant,ATT
Karol Mets,CB
Kasper Dolberg,AG
Kay Tejan,ATT
Kayne Ramsay,CB
Kazeem Olaigbe,AG
Kazımcan Karataş,AG
Kaïl Boudache,AG
Keane Lewis-Potter,ATT
Keanu Baccus,MC
Keaton Parks,AG
Kees Smit,ATT
Keinan Davis,ATT
Keisuke Goto,ATT
Keisuke Kurokawa,LB
Kelechi Iheanacho,AG
Kellen Fisher,MOF
Kelvin Amian,CB
Kelvin Yeboah,ATT
Kenan Yıldız,AG
Kenji Mboma Dem,ATT
Kenneth Paal,MC
Kenneth Taylor,MOF
Kenny Lala,MC
Kenny McLean,MOF
Kenny Tete,MC
Kerem Aktürkoğlu,ATT
Kerem Demirbay,MOF
Kervin Arriaga,CB
Kerwin Calderón Vargas,AG
Keshi Anderson,AG
Keven Schlotterbeck,LB
Kevin,AG
Kevin Cabral,CB
Kevin Carlos Omoruyi,CB
Kevin Danso,CB
Kevin De Bruyne,MOF
Kevin Diks,MC
Kevin Höög Jansson,AG
Kevin Kelsy,AG
Kevin Mac Allister,MC
Kevin Nisbet,ATT
Kevin O'Toole,MC
Kevin Pedro,CB
Kevin Rodriguez,AG
Kevin Schade,ATT
Kevin Stöger,ATT
Kevin Van Den Kerkhof,MOF
Khaled Al-Lazam,CB
Khaled Narey,MC
Khalid Al-Ghannam,ATT
Khalid Alsubaie,MDF
Khalifah Al-Dawsari,CB
Khvicha Kvaratskhelia,ATT
Khéphren Thuram,ATT
Ki-Jana Hoever,AG
Kialonda Gaspar,CB
Kian Fitz-Jim,AG
Kieffer Moore,ATT
Kieran Morgan,MC
Kieran Sargeant,CB
Kieran Tierney,AG
Kieran Trippier,AG
Kiernan Dewsbury-Hall,ATT
Kieron Bowie,ATT
Kike García,AG
Kike Salas,LB
Kiki,MDF
Kiko,CB
Kiko Bondoso,AG
Kiko Femenía,MDF
Kiliann Sildillia,ATT
Killian Phillips,ATT
Kim Min-jae,MDF
Kingsley Coman,ATT
Kingsley Ehizibue,CB
Kjetil Borry,ATT
Kobbie Mainoo,LB
Kobe Franklin,MC
Kodai Sano,MOF
Koen Jansen,MOF
Koen Kostons,MC
Koffi Kouao,MC
Kojo Peprah Oppong,CB
Koke,MC
Koki Saito,MC
Koni De Winter,CB
Konrad Laimer,AG
Konstantinos Karetsas,ATT
Konstantinos Koulierakis,ATT
Konstantinos Mavropanos,CB
Koray Günter,CB
Kosi Thompson,CB
Kostas Fortounis,ATT
Kristi Montgomery,CB
Kristian Hlynsson,ATT
Kristian Thorstvedt,ATT
Kristijan Jakić,AG
Kristjan Asllani,ATT
Kristoffer Ajer,CB
Kristoffer Lund,MC
Kristoffer Peterson,AG
Kristoffer Velde,ATT
Krépin Diatta,CB
Kuryu Matsuki,AG
Kwadwo Baah,CB
Kwame Poku,AG
Kwasi Sibo,CB
Kye Rowles,CB
Kyle Bartley,MC
Kyle Duncan,MC
Kyle Joseph,CB
Kyle Walker,RB
Kylian Mbappé,ATT
Kyrell Wilson,ATT
Kyriani Sabbe,ATT
Kéres Masangu,ATT
Kévin Boma,CB
Kévin Danois,MOF
Kévin Denkey,ATT
Kévin N'Doram,CB
Kévin Rodrigues,MC
Ladislav Krejčí,CB
Lameck Banda,AG
Lamine Camara,MOF
Lamine Cissé,ATT
Lamine Sy,MDF
Lamine Yamal,AD
Lance Duijvestijn,ATT
Landerson,AG
Lanroy Machine,ATT
Largie Ramazani,ATT
Lars-Jørgen Salvesen,AG
Lassana Coulibaly,ATT
Lasse Berg Johnsen,MDF
Lasse Selvåg Nordås,AG
Lassine Sinayoko,ATT
Lasso Coulibaly,AG
Laurent Abergel,LB
Lautaro Giannetti,LB
Lautaro Martínez,ATT
Lautaro Valenti,CB
Lawrence Agyekum,AG
Lawrence Ennali,MOF
Lawrence Ofori,MDF
Lawrence Shankland,ATT
Leandro Antunes,ATT
Leandro Barreiro,MC
Leandro Cabrera,MC
Leandro Trossard,AG
Leif Davis,MOF
Lennard Hartjes,AG
Lenny Pintor,AG
Leny Yoro,CB
Leo Castledine,AG
Leo Greiml,LB
Leo Sauer,AG
Leo Scienza,ATT
Leo Østigård,CB
Leon Avdullahu,MDF
Leon Bailey,AG
Leon Goretzka,ATT
Leonardo Balerdi,CB
Leonardo Lopes,LB
Leonardo Spinazzola,AG
Leopold Querfeld,MC
Leroy Sané,AG
Lesley Ugochukwu,CB
Levent Mercan,AG
Levi Colwill,CB
Lewie Coyle,LB
Lewin Blum,AG
Lewis Baker,MOF
Lewis Cook,MDF
Lewis Dobbin,ATT
Lewis Dunk,MC
Lewis Ferguson,CB
Lewis Gibson,CB
Lewis Hall,MC
Lewis Holtby,AG
Lewis Koumas,MC
Lewis Miley,MC
Lewis Miller,CB
Lewis Morgan,AG
Lewis O'Brien,MC
Lewis Schouten,LB
Lewis Smith,ATT
Lewis Travis,MC
Liam Cooper,CB
Liam Cullen,AG
Liam Delap,AG
Liam Gibbs,MOF
Liam Henderson,CB
Liam Millar,ATT
Liam Morrison,CB
Liam Palmer,CB
Liam Scales,LB
Lilian Brassier,CB
Lilian Raolisoa,MC
Lincoln,MC
Linton Maina,ATT
Lionel Carole,LB
Lionel Messi,ATT
Lisandro Martínez,MDF
Livan Burcu,AG
Liziero,MOF
Lloyd Jones,MC
Lloyd Kelly,MDF
Loek Postma,MC
Logan Costa,CB
Logan Farrington,ATT
Logi Tomasson,MC
Loic Négo,LB
Loide Augusto,ATT
Loreintz Rosier,MDF
Lorenzo Bernasconi,MOF
Lorenzo Colombo,AG
Lorenzo Lucca,AG
Lorenzo Pellegrini,ATT
Louicius Don Deedson,CB
Louis Leroux,AG
Louis Mouton,AG
Louis Munteanu,ATT
Louis Patris,ATT
Loum Tchaouna,AG
Luan Patrick,LB
Luca Bombino,MDF
Luca De La Torre,AG
Luca Kjerrumgaard,AG
Luca Koleosho,ATT
Luca Langoni,ATT
Luca Lipani,MDF
Luca Mazzitelli,AG
Luca Oyen,AG
Luca Petrasso,MC
Luca Ranieri,CB
Luca Stephenson,MOF
Luca Waldschmidt,AG
Lucas Ahijado,MC
Lucas Bartlett,ATT
Lucas Beerten,LB
Lucas Beltrán,ATT
Lucas Bergvall,MC
Lucas Boyé,ATT
Lucas Da Cunha,ATT
Lucas Digne,MOF
Lucas Gourna-Douath,LB
Lucas Halter,ATT
Lucas Hernández,MDF
Lucas Herrington,CB
Lucas Höler,ATT
Lucas Pires,MC
Lucas Sanabria,MDF
Lucas Schoofs,ATT
Lucas Soares,MOF
Lucas Stassin,LB
Lucas Torreira,AG
Lucas Torró,AG
Lucas Tousart,AG
Luciano Rodríguez,ATT
Luciano Valente,ATT
Lucien Agoumé,LB
Lucien Mahovo,AG
Ludovic Ajorque,ATT
Ludovic Blas,ATT
Luis Díaz,AG
Luis Javier Suárez,ATT
Luis Milla,MC
Luis Rioja,AG
Luis Vázquez,AG
Luka Gavran,CB
Luka Kulenović,ATT
Luka Modrić,MC
Luka Sučić,AG
Luka Vušković,ATT
Lukas Engel,MDF
Lukas Fadinger,AG
Lukas MacNaughton,CB
Lukas Nmecha,CB
Luke Ayling,MC
Luke Chambers,CB
Luke Cundle,MC
Luke Graham,ATT
Luke McNally,MC
Luke Shaw,LB
Luke Thomas,ATT
Lushendry Edward Martes,MDF
Lutsharel Geertruida,CB
Luuk Brouwers,AG
Luuk de Jong,ATT
Luís Esteves,ATT
Luís Guilherme,ATT
Luís Henrique,AG
Lyall Cameron,AG
Lyle Foster,CB
Lyndon Dykes,ATT
László Bénes,ATT
Lázaro,ATT
Léo Duarte,CB
Léo Pétrot,CB
Léo Santos,MDF
M'Baye Niang,AG
M'bala Nzola,ATT
Maas Willemsen,CB
Macaulay Langstaff,CB
Macaulay Tait,MC
Madallah Al-Olayan,CB
Maestro,CB
Maghnes Akliouche,MOF
Mahamadou Doumbia,ATT
Mahamadou Nagida,AG
Mahamadou Susoho,CB
Mahdi Camara,ATT
Majed Omar Kanabah,MDF
Majid Hosseini,CB
Makan Aïko,ATT
Makaya Ibrahima Diaby,AG
Maksim Paskotsi,ATT
Maksym Talovierov,CB
Malang Sarr,LB
Malcom,ATT
Malcom Bokele,MC
Malick Fofana,ATT
Malick Thiaw,CB
Malick Yalcouyé,AG
Malik Henry,AG
Malik Tillman,CB
Malo Gusto,MC
Malte Amundsen,MDF
Mama Baldé,AG
Mamadou  Dieng,MC
Mamadou Coulibaly,AG
Mamadou Doumbia,ATT
Mamadou Fofana,CB
Mamadou Sangare,ATT
Mamadou Sylla,ATT
Mandela Keita,CB
Manor Solomon,ATT
Mansour Hamzi,AG
Manu Duah,CB
Manu García,MOF
Manu Koné,MC
Manu Morlanes,AG
Manuel Akanji,CB
Manuel Locatelli,MOF
Manuel Sánchez,LB
Maracás,CB
Maranhão,ATT
Marc Aguado,CB
Marc Bernal,AG
Marc Bola,MOF
Marc Cucurella,MOF
Marc Guéhi,ATT
Marc Kempf,LB
Marc Leonard,MC
Marc Pubill,CB
Marcel Hartel,ATT
Marcel Sabitzer,MC
Marcelino Núñez,ATT
Marcelo Brozović,MC
Marco Asensio,ATT
Marco Brescianini,AG
Marco Friedl,LB
Marco Grüll,ATT
Marco Ilaimaharitra,MC
Marco Palestra,MC
Marco Pašalić,ATT
Marco Rente,MOF
Marco Reus,AG
Marco Tol,LB
Marcos Alonso,LB
Marcos Leonardo,AG
Marcos Llorente,MC
Marcos Senesi,MDF
Marcus Edwards,AG
Marcus Fraser,LB
Marcus Ingvartsen,AG
Marcus Linday,MDF
Marcus Pedersen,MC
Marcus Rashford,ATT
Marcus Tavernier,ATT
Marcus Thuram,ATT
Marcão,MC
Mardochee Nzita,MC
Maren Haile-Selassie,ATT
Mariano Troilo,MC
Marin Petkov,ATT
Marin Pongračić,CB
Mario Dorgeles,ATT
Mario Engels,AG
Mario Gila,LB
Mario Hermoso,CB
Mario Lemina,MC
Mario Martín,AG
Mario Mitaj,MC
Mario Pašalić,MC
Mario Sauer,AG
Marios Vrousai,MOF
Marius Bülter,ATT
Marius Marin,MDF
Marius Mouandilmadji,ATT
Marius Wolf,AG
Mark Delgado,MC
Mark Harris,ATT
Mark McKenzie,CB
Mark O'Hara,ATT
Mark Sykes,AG
Marko Jevtović,ATT
Marko Milovanović,AG
Marko Pjaca,AG
Marko Stamenić,MC
Marley Watkins,AG
Marlon Fossey,AG
Marlon Pack,MC
Marnon Busch,MOF
