Nom,Poste_Cat,Matchs,xG,xA,KP,Drb,Dist,Def
Mohammed Al-Kuwaykibi,ATT,14,0.179,0.1515,1.12,1.97,7992.0,6.035
Morgan Gibbs-White,ATT,13,0.37,0.032,1.5,1.7,9612.0,5.0
Morgan Rogers,ATT,14,0.151,0.0495,1.01,1.665,9666.0,4.5
Morgan Whittaker,ATT,12,0.3025,0.07500000000000001,1.255,2.17,7128.0,3.1
Mourad Batna,ATT,14,0.175,0.18,2.5,1.65,9720.0,2.0
Moussa Dembélé,ATT,14,0.1815,0.0115,0.5,1.66,9666.0,0.5
Moussa Soumano,ATT,9,0.27,0.048,1.27,2.18,7668.0,2.54
Myles Peart-Harris,ATT,13,0.056,0.016,1.0,1.94,8316.0,5.0
Nadiem Amiri,ATT,14,0.4275,0.2595,2.6550000000000002,1.8399999999999999,8910.0,4.87
Nahitan Nández,ATT,14,0.14500000000000002,0.2,1.5,1.65,9720.0,5.5
Nasser Al-Dawsari,ATT,9,0.07,0.022,1.0,1.83,8640.0,6.0
